product_id,total_sales
03b755d783fd4ec,644
62e3040b6322463,639
6b91277c742e439,634
36103fff52e640a,630
93210367755d441,627
30b1fbefd5ca45a,626
b417c783986e44c,626
32b8b71245fc430,623
fec55667a72041a,622
2729013c9e3f46f,621
8eaaa60a9bbb479,620
9f054693fbec4d3,620
1b38df5f1cbb4d4,617
4986d48585a0455,616
2c6b80b750524a2,614
d6825ec8a7d5409,614
32d18c3adab74f3,613
14ee1e3a5d944b0,610
9754dcae94c946d,610
1140d12b56eb4cd,609
736284ac55d44ff,609
9e571016c83f48c,608
007e97352fdb433,607
d11fa3f43c00494,607
e758471031f34c2,607
0190e1a60d2d404,605
d585e594dc78493,605
0a973320c70f4c2,603
365876b52d6449e,602
c8d750c3360544b,601
c254b8a6fb4c48d,599
cb1ede84cb104c4,598
0981d6e364f34fc,597
8deac82256e14d6,597
b1c8de1acc9b4c2,595
caa69aa16e5c453,595
f718c5b250b841e,595
9eb15191abbb4d0,594
9ef079d1eb5c48e,594
b08ea268a20c4b2,594
054792be6ff14b1,593
572aff5625d9420,593
d01839e20d7c4fd,593
ebd16acd986e4d6,593
9c7c3149f28e429,592
0bdacc4bb9c84f0,591
91cdee67edf140d,591
9dfbb961bc7e4a8,591
ac98fba4aa924e0,591
116c35a9da9d448,589
2c06841a9aee48c,589
5d4331c419a24ca,587
5f567708774440d,587
7fa5b89778d449a,587
efdda26ec9224e9,587
53dae650df7042f,586
858eaf4d577a4e1,586
76c25fddba114e7,584
96f5fa1cd4ff4c7,582
abdc306988a94b1,582
c5959fd89a274bf,582
7cc88898928748e,580
cc036a79f6d2432,580
7ea71afc64d9413,579
8097cfe63ec04cf,579
1219dbf1f12246a,578
1763203ae23744c,578
b63aec023e39486,577
413d59e00a1543c,576
24241cb66e044a3,575
5446e83ac9014db,575
e53f2307c1ba4c9,575
ef572fc53e1244f,575
6f166d060526443,572
e306e59a2b66400,572
0937e17466cf4de,568
225178fad1554a2,568
3c1aed34f9b44ce,567
3c1d8d4fd388471,567
7d59758138f54bc,566
d2af1c5344b1496,565
f0ff086c77ce466,565
ad77ea383e83488,563
a7121b788908462,562
ebfccdf34320417,561
31078224862b486,560
